Word,Frequency,,,,,POSITIVAS,,NEGATIVAS,,NEUTRAS
https,2114,,,,,responder,,fuera,,https
youtube,1885,,,,,propuestas,,botarga,,youtube
watch,942,,,,,presidenta,,pena,,watch
aaabag,942,,,,,claudia,,pobre,,aaabag
responder,941,,,,,viva,,nomas,,dias
dias,568,,,,,jovenes,,hiciero,,ggpht
ggpht,229,,,,,estudiantes,,corruptos,,ffffff
ffffff,229,,,,,bueno,,mediocres,,aidro
aidro,209,,,,,jornada,,mentiras,,user
user,182,,,,,analisis,,lastima,,horas
fuera,145,,,,,proxima,,puro,,david
presidenta,141,,,,,nuestra,,menos,,minutos
claudia,82,,,,,dinero,,prian,,entrevista
horas,46,,,,,escuchan,,refineria,,hora
propuestas,37,,,,,millones,,calderon,,dijo
botarga,31,,,,,realidad,,barda,,quieren
elsenorajedrez,30,,,,,queremos,,peor,,dicen
jajaja,27,,,,,creo,,votar,,decir
editado,26,,,,,crecimiento,,campana,,ellos
pena,25,,,,,idea,,puras,,esos
voto,25,,,,,ideas,,cochitl,,cuanto
paramo,24,,,,,,,cochil,,hizo
david,24,,,,,,,prian,,dona
minutos,23,,,,,,,nomas,,xochil
entrevista,22,,,,,,,,,nadie
viva,22,,,,,,,,,xochilt
pobre,21,,,,,,,,,modo
jovenes,21,,,,,,,,,masivo
estudiantes,21,,,,,,,,,pemex
bueno,20,,,,,,,,,hicieron
hora,20,,,,,,,,,escuchan
jornada,20,,,,,,,,,jaja
dijo,18,,,,,,,,,jajajaja
quieren,18,,,,,,,,,alguien
dicen,18,,,,,,,,,pregunta
decir,17,,,,,,,,,luego
nuestra,15,,,,,,,,,propuesta
analisis,15,,,,,,,,,despues
ellos,15,,,,,,,,,antes
esos,15,,,,,,,,,medio
proxima,14,,,,,,,,,gritos
dinero,14,,,,,,,,,universidad
cuanto,14,,,,,,,,,diciendo
hizo,14,,,,,,,,,acabo
dona,13,,,,,,,,,junio
xochil,13,,,,,,,,,padre
nadie,13,,,,,,,,,mariavictoriaramirezcortes
xochilt,13,,,,,,,,,cada
modo,12,,,,,,,,,banqueros
masivo,12,,,,,,,,,lugar
pemex,12,,,,,,,,,
queremos,12,,,TOTAL,,21,,24,,61
creo,11,,,,,,,,,
nomas,11,,,,,,,,,
hicieron,11,,,,,,,,,
cochil,11,,,,,,,,,
escucha,11,,,,,,,,,
millones,11,,,,,,,,,
realidad,11,,,,,,,,,
puro,11,,,,,,,,,
menos,11,,,,,,,,,
jaja,11,,,,,,,,,
jajajaja,11,,,,,,,,,
prian,10,,,,,,,,,
alguien,10,,,,,,,,,
refineria,10,,,,,,,,,
calderon,10,,,,,,,,,
corruptos,10,,,,,,,,,
campana,10,,,,,,,,,
puras,10,,,,,,,,,
peor,10,,,,,,,,,
votar,10,,,,,,,,,
barda,10,,,,,,,,,
jajajajaja,10,,,,,,,,,
ricardocuevasnunez,10,,,,,,,,,
pregunta,10,,,,,,,,,
mediocres,10,,,,,,,,,
mentiras,10,,,,,,,,,
personas,10,,,,,,,,,
economia,9,,,,,,,,,
lastima,9,,,,,,,,,
cochitl,9,,,,,,,,,
luego,9,,,,,,,,,
propuesta,9,,,,,,,,,
despues,9,,,,,,,,,
antes,9,,,,,,,,,
medio,9,,,,,,,,,
gritos,9,,,,,,,,,
universidad,9,,,,,,,,,
diciendo,8,,,,,,,,,
acabo,8,,,,,,,,,
crecimiento,8,,,,,,,,,
junio,8,,,,,,,,,
padre,8,,,,,,,,,
mariavictoriaramirezcortes,8,,,,,,,,,
cada,8,,,,,,,,,
banqueros,8,,,,,,,,,
idea,8,,,,,,,,,
lugar,8,,,,,,,,,
ideas,8,,,,,,,,,
