Word,Frequency,,,,,,POSITIVAS,,NEGATIVAS,,NEUTRAS
claudia,157,,,,,,claudia,,sangre,,debate
debate,109,,,,,,propuestas,,pena,,pacto
propuestas,55,,,,,,presidenta,,botarga,,formato
presidenta,54,,,,,,ganar,,mentiras,,doriga
sangre,47,,,,,,creo,,pobre,,dijo
ganar,46,,,,,,viva,,xochil,,hizo
jajaja,43,,,,,,sociales,,puras,,programas
pena,42,,,,,,bueno,,ridiculo,,cree
jajajaja,36,,,,,,casa,,miedo,,ellos
pacto,34,,,,,,hijos,,diablo,,ante
pobre,33,,,,,,proxima,,peor,,tanto
formato,31,,,,,,queremos,,votar,,misma
creo,26,,,,,,doctora,,hijas,,campana
quitar,26,,,,,,capaz,,nadie,,hija
botarga,26,,,,,,gano,,xochilt,,hijo
doriga,26,,,,,,millones,,ajena,,ajena
dijo,25,,,,,,pensiones,,aunque,,aunque
mentiras,25,,,,,,haciendo,,deja,,paso
hizo,24,,,,,,quiero,,atacar,,notario
xochil,23,,,,,,segura,,culpa,,alguien
programas,22,,,,,,,,verguenza,,despues
viva,21,,,,,,,,muertos,,entrevista
sociales,20,,,,,,,,metro,,haga
cree,19,,,,,,,,desesperacion,,vota
bueno,17,,,,,,,,verguenza,,cosas
casa,17,,,,,,,,basta,,palabra
hijos,17,,,,,,,,perdiendo,,basta
voto,16,,,,,,,,ridiculo,,millones
ellos,16,,,,,,,,peor,,modo
ante,15,,,,,,,,dejada,,estaba
tanto,15,,,,,,,,ataca,,votos
misma,14,,,,,,,,mentirosa,,unico
campana,14,,,,,,,,,,representa
nadie,14,,,,,,,,,,nieto
xochilt,14,,,,,,,,,,antes
hijo,14,,,,,,,,,,estas
proxima,14,,,,,,,,,,dicen
ajena,13,,,,,,,,,,ustedes
aunque,13,,,,,,,,,,debatir
hubiera,13,,,,,,,,,,luego
queremos,13,,,,,,,,,,cada
decir,13,,,,,,,,,,dinero
notario,12,,,,,,,,,,asta
puras,12,,,,,,,,,,tenia
paso,12,,,,,,,,,,
deja,12,,,,TOTAL,,20,,32,,48
atacar,12,,,,,,,,,,
propuesta,12,,,,,,,,,,
saben,11,,,,,,,,,,
cabeza,11,,,,,,,,,,
doctora,11,,,,,,,,,,
miedo,11,,,,,,,,,,
diablo,11,,,,,,,,,,
alguien,11,,,,,,,,,,
peor,11,,,,,,,,,,
despues,11,,,,,,,,,,
entrevista,11,,,,,,,,,,
haga,10,,,,,,,,,,
votar,10,,,,,,,,,,
personas,10,,,,,,,,,,
capaz,10,,,,,,,,,,
gano,10,,,,,,,,,,
puso,10,,,,,,,,,,
ridiculo,10,,,,,,,,,,
millones,10,,,,,,,,,,
menos,10,,,,,,,,,,
vale,10,,,,,,,,,,
quiero,10,,,,,,,,,,
cosa,10,,,,,,,,,,
basta,10,,,,,,,,,,
perdio,10,,,,,,,,,,
pasado,10,,,,,,,,,,
debates,10,,,,,,,,,,
modo,10,,,,,,,,,,
estaba,9,,,,,,,,,,
votos,9,,,,,,,,,,
unico,9,,,,,,,,,,
representa,9,,,,,,,,,,
palabra,9,,,,,,,,,,
nieto,9,,,,,,,,,,
antes,9,,,,,,,,,,
desesperacion,9,,,,,,,,,,
estas,9,,,,,,,,,,
dicen,9,,,,,,,,,,
verguenza,9,,,,,,,,,,
todas,9,,,,,,,,,,
ustedes,9,,,,,,,,,,
muertos,9,,,,,,,,,,
metro,9,,,,,,,,,,
ayer,9,,,,,,,,,,
debatir,9,,,,,,,,,,
culpa,9,,,,,,,,,,
luego,8,,,,,,,,,,
cada,8,,,,,,,,,,
pensiones,8,,,,,,,,,,
haciendo,8,,,,,,,,,,
dinero,8,,,,,,,,,,
seguridad,8,,,,,,,,,,
asta,8,,,,,,,,,,
tenia,8,,,,,,,,,,
