Word,Frequency,,,,,,,POSITIVAS,,NEGATIVAS,,NEUTRAS
claudia,737,,,,,,,claudia,,chayotero,,voto
presidenta,311,,,,,,,presidenta,,fuera,,entrevista
viva,159,,,,,,,viva,,pobre,,votar
doriga,140,,,,,,,nuestra,,pena,,habia
nuestra,130,,,,,,,doctora,,doriga,,jajaja
doctora,108,,,,,,,proxima,,tanto,,paso
voto,92,,,,,,,preparada,,,,periodistas
proxima,85,,,,,,,futura,,,,parte
preparada,77,,,,,,,transformacion,,,,saber
entrevista,71,,,,,,,excelente,,,,palabras
futura,71,,,,,,,honor,,,,aunque
transformacion,69,,,,,,,inteligente,,,,sido
excelente,65,,,,,,,felicidades,,,,poco
honor,64,,,,,,,documental,,,,espero
inteligente,56,,,,,,,primera,,,,todas
felicidades,54,,,,,,,trabajo,,,,pardo
documental,50,,,,,,,vida,,,,jajajaja
primera,48,,,,,,,historia,,,,social
trabajo,36,,,,,,,creo,,,,espero
vida,35,,,,,,,familia,,,,pas
historia,32,,,,,,,siga,,,,fuerza
creo,27,,,,,,,cuarta,,,,social
familia,26,,,,,,,masivo,,,,tanto
siga,26,,,,,,,amor,,,,creo
cuarta,25,,,,,,,confianza,,,,educacion
masivo,23,,,,,,,bueno,,,,inteligente
amor,22,,,,,,,contigo,,,,todas
confianza,21,,,,,,,mexicana,,,,andres
bueno,20,,,,,,,lucha,,,,
contigo,20,,,,,,,seguridad,,,,
mexicana,20,,,,,,,movimiento,,,,
lucha,20,,,,,,,bendiga,,,,
seguridad,19,,,,,,,nacion,,,,
movimiento,19,,,,,,,querido,,,,
bendiga,18,,,,,,,andres,,,,
votar,18,,,,,,,conocimiento,,,,
nacion,18,,,,,,,conocer,,,,
chayotero,18,,,,,,,respeto,,,,
querido,17,,,,,,,segura,,,,
andres,17,,,,,,,muchos,,,,
conocimiento,17,,,,,,,manuel,,,,
conocer,17,,,,,,,inteligencia,,,,
respeto,17,,,,,,,bendiciones,,,,
segura,17,,,,,,,cambio,,,,
muchos,16,,,,,,,primer,,,,
manuel,16,,,,,,,trayectoria,,,,
inteligencia,16,,,,,,,experiencia,,,,
bendiciones,16,,,,,,,hermoso,,,,
cambio,16,,,,,,,sabemos,,,,
primer,16,,,,,,,adelante,,,,
trayectoria,16,,,,,,,social,,,,
experiencia,16,,,,,,,educacion,,,,
pardo,16,,,,,,,ejemplo,,,,
habia,15,,,,,,,queremos,,,,
hermoso,15,,,,,,,cientifica,,,,
sabemos,15,,,,,,,nosotros,,,,
adelante,15,,,,,,,continuar,,,,
jajaja,15,,,,,,,mexicano,,,,
tanto,15,,,,,,,juntos,,,,
social,15,,,,,,,madre,,,,
fuera,15,,,,,,,esperanza,,,,
educacion,14,,,,,,,justicia,,,,
ejemplo,14,,,,,,,culta,,,,
queremos,14,,,,,,,unica,,,,
cientifica,14,,,,,,,admiracion,,,,
nosotros,14,,,,,,,apoyamos,,,,
continuar,14,,,,,,,digna,,,,
mexicano,14,,,,,,,ciudad,,,,
hizo,13,,,,,,,manos,,,,
juntos,13,,,,,,,profesionalismo,,,,
madre,13,,,,,,,fuerza,,,,
esperanza,13,,,,,,,honesta,,,,
periodistas,13,,,,,,,equipo,,,,
parte,13,,,,,,,profesional,,,,
saber,13,,,,,,,corazon,,,,
justicia,13,,,,,,,mujeres,,,,
culta,12,,,,,,,,,,,
unica,12,,,,,TOTAL,,76,,6,,28
pobre,12,,,,,,,,,,,
aunque,12,,,,,,,,,,,
admiracion,12,,,,,,,,,,,
apoyamos,12,,,,,,,,,,,
pena,11,,,,,,,,,,,
digna,11,,,,,,,,,,,
ciudad,11,,,,,,,,,,,
manos,11,,,,,,,,,,,
profesionalismo,11,,,,,,,,,,,
jajajaja,11,,,,,,,,,,,
fuerza,11,,,,,,,,,,,
honesta,11,,,,,,,,,,,
equipo,10,,,,,,,,,,,
espero,10,,,,,,,,,,,
sido,10,,,,,,,,,,,
profesional,10,,,,,,,,,,,
todas,10,,,,,,,,,,,
poco,10,,,,,,,,,,,
corazon,10,,,,,,,,,,,
palabras,10,,,,,,,,,,,
mujeres,10,,,,,,,,,,,
paso,10,,,,,,,,,,,
